"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"saas 用户注册/登录功能测试","用户注册模块","用例-重复注册","2","0","1","0","0"
"saas 用户注册/登录功能测试","用户注册模块","用例-注册验证码","3","0","2","0","0"
"saas 用户注册/登录功能测试","用户注册模块","用例-注册参数异常","1","0","20","0","0"
"saas 用户注册/登录功能测试","请求短信验证码模块","用例-多次请求验证码","0","0","4","0","0"
"saas 用户注册/登录功能测试","请求短信验证码模块","用例-参数校验","0","0","10","0","0"
"saas 用户注册/登录功能测试","请求短信验证码模块","用例-请求短信验证码冒烟","0","0","1","0","0"
"saas 用户注册/登录功能测试","用户登录模块","用例-用户登录冒烟","0","0","1","0","0"
"saas 用户注册/登录功能测试","用户注册模块","用例-注册冒烟","0","0","1","0","0"
"saas 用户注册/登录功能测试","用户退出登录模块","用例-用户退出登录冒烟","0","0","1","0","0"
